country,num_races,num_unique_winners,num_home_wins,num_unique_home_winners,avg_home_win_per_driver,max_driver_home_wins,top_driver,rank_home_wins,rank_avg_home_wins_per_driver
UK,80,42,31,12,2.58,9,hamilton,1,4
Germany,79,43,13,4,3.25,9,michael_schumacher,2,1
Brazil,51,26,9,5,1.8,2,emerson_fittipaldi,3,5
France,64,34,8,3,2.67,6,prost,4,3
Italy,107,45,6,5,1.2,2,ascari,5,6
Spain,61,29,3,1,3.0,3,alonso,6,2
Netherlands,34,21,3,1,3.0,3,max_verstappen,6,2
Canada,53,32,1,1,1.0,1,gilles_villeneuve,7,7
Austria,39,26,1,1,1.0,1,lauda,7,7
South Africa,23,16,1,1,1.0,1,scheckter,7,7
Monaco,70,37,1,1,1.0,1,leclerc,7,7
Switzerland,5,4,0,0,,0,none,8,8
Turkey,9,6,0,0,,0,none,8,8
Portugal,18,12,0,0,,0,none,8,8
Sweden,6,4,0,0,,0,none,8,8
UAE,16,7,0,0,,0,none,8,8
Singapore,15,7,0,0,,0,none,8,8
Saudi Arabia,4,3,0,0,,0,none,8,8
Russia,8,3,0,0,,0,none,8,8
Qatar,3,2,0,0,,0,none,8,8
Argentina,21,16,0,0,,0,none,8,8
Mexico,24,16,0,0,,0,none,8,8
Morocco,1,1,0,0,,0,none,8,8
Australia,38,23,0,0,,0,none,8,8
Malaysia,19,11,0,0,,0,none,8,8
Korea,4,2,0,0,,0,none,8,8
Japan,40,19,0,0,,0,none,8,8
India,3,1,0,0,,0,none,8,8
Hungary,39,20,0,0,,0,none,8,8
China,17,10,0,0,,0,none,8,8
Belgium,69,38,0,0,,0,none,8,8
Bahrain,21,10,0,0,,0,none,8,8
Azerbaijan,8,7,0,0,,0,none,8,8
USA,79,44,0,0,,0,none,8,8
